id,threat,lat,lon
207,3,-36.58715976549531,-72.92108887973808
208,3,-36.58752669285953,-72.90993618846478
209,2,-36.587892579818515,-72.89878329568151
210,3,-36.588257426313,-72.88763020195667
211,2,-36.588621232283806,-72.8764769078588
212,3,-36.588983997672,-72.86532341395647
213,3,-36.58934572241877,-72.85416972081832
214,2,-36.589706406465474,-72.84301582901304
215,2,-36.590066049753645,-72.83186173910941
216,2,-36.590424652225,-72.82070745167626
217,2,-36.59078221382139,-72.80955296728246
218,2,-36.59113873448485,-72.79839828649699
219,3,-36.59430280744131,-72.97731147568308
220,3,-36.59467505724796,-72.96615851275905
221,2,-36.59504626661048,-72.95500534539033
222,3,-36.59541643546871,-72.9438519741453
223,3,-36.59578556376264,-72.9326983995924
224,3,-36.596153651432445,-72.92154462230013
225,3,-36.596520698418466,-72.91039064283706
226,3,-36.5968867046612,-72.89923646177184
227,2,-36.597251670101315,-72.88808207967315
228,2,-36.59761559467965,-72.8769274971098
229,2,-36.597978478337225,-72.86577271465059
230,2,-36.59834032101519,-72.8546177328644
231,2,-36.59870112265489,-72.84346255232023
232,2,-36.599060883197815,-72.83230717358708
233,2,-36.59941960258564,-72.82115159723404
234,3,-36.59977728076023,-72.80999582383026
235,2,-36.600133917663555,-72.79883985394495
236,2,-36.6004895132378,-72.7876836881474
237,2,-36.60084406742531,-72.77652732700693
238,3,-36.60119758016857,-72.76537077109296
239,0,-36.600660336736915,-73.05584784651631
240,2,-36.60103999165843,-73.04469504298257
241,3,-36.60329607156731,-72.97777386281557
242,2,-36.60366844271329,-72.96661961159813
243,1,-36.60403977307716,-72.95546515584249
244,2,-36.604410062598696,-72.94431049611728
245,4,-36.60477931121788,-72.93315563299119
246,4,-36.60514751887487,-72.92200056703298
247,3,-36.60551468550995,-72.9108452988115
248,3,-36.605880811063614,-72.89968982889565
249,3,-36.60624589547649,-72.88853415785435
250,2,-36.60660993868939,-72.87737828625666
251,3,-36.60697294064329,-72.86622221467167
252,2,-36.60733490127932,-72.8550659436685
253,2,-36.60769582053881,-72.8439094738164
254,2,-36.608055698363216,-72.83275280568465
255,2,-36.6084145346942,-72.82159593984257
256,3,-36.608772329473545,-72.81043887685959
257,2,-36.60912908264325,-72.79928161730517
258,2,-36.60948479414544,-72.78812416174885
259,2,-36.609839463922434,-72.77696651076025
260,3,-36.610193091916706,-72.76580866490897
261,3,-36.61124772463051,-72.73233396387691
262,0,-36.60927190390767,-73.06747334070054
263,2,-36.609652723194266,-73.05631945814761
264,2,-36.61003250184844,-73.04516536641415
265,2,-36.6122893170571,-72.97823645505486
266,1,-36.61266180957008,-72.96708091497544
267,1,-36.61303326096285,-72.95592517026424
268,2,-36.613403671175206,-72.94476922149013
269,3,-36.61377304014707,-72.93361306922209
270,4,-36.6141413678186,-72.92245671402912
271,3,-36.61450865413002,-72.91130015648034
272,4,-36.614874899021814,-72.90014339714487
273,3,-36.61524010243457,-72.88898643659195
274,3,-36.61560426430907,-72.87782927539084
275,3,-36.61596738458628,-72.8666719141109
276,2,-36.61632946320729,-72.85551435332154
277,2,-36.6166905001134,-72.84435659359224
278,2,-36.617050495246026,-72.83319863549252
279,3,-36.6174094485468,-72.822040479592
280,3,-36.617767359957526,-72.81088212646036
281,2,-36.618124229420125,-72.7997235766673
282,2,-36.6184800568767,-72.78856483078262
283,2,-36.61883484226956,-72.7774058893762
284,3,-36.61918858554114,-72.76624675301791
285,2,-36.61954128663406,-72.7550874222778
286,2,-36.6198929454911,-72.74392789772584
287,3,-36.62024356205522,-72.7327681799322
288,3,-36.61634381811531,-73.1237191472707
289,3,-36.616729965422785,-73.11256503095353
290,2,-36.617115072070334,-73.10141070251804
291,2,-36.61749913799555,-73.0902561625325
292,3,-36.61826414743014,-73.06794645018478
293,3,-36.61864509081552,-73.05679127895947
294,2,-36.61902499323055,-73.04563589845792
295,1,-36.62165515781424,-72.96754242298454
296,1,-36.62202673026354,-72.95638538874888
297,3,-36.62239726119423,-72.94522815035694
298,4,-36.62276675054624,-72.93407070837793
299,4,-36.62313519825966,-72.92291306338112
300,3,-36.62350260427472,-72.91175521593586
301,3,-36.623868968531845,-72.90059716661158
302,3,-36.62423429097163,-72.88943891597772
303,3,-36.62459857153481,-72.87828046460385
304,3,-36.624961810162304,-72.86712181305957
305,3,-36.625324006795196,-72.85596296191454
306,2,-36.625685161374754,-72.84480391173848
307,2,-36.62604527384238,-72.83364466310123
308,3,-36.62640434413966,-72.82248521657262
309,3,-36.62676237220834,-72.81132557272255
310,3,-36.62711935799037,-72.80016573212106
311,3,-36.627475301427786,-72.78900569533816
312,3,-36.62783020246288,-72.777845462944
313,2,-36.62818406103807,-72.76668503550873
314,2,-36.62853687709594,-72.7555244136026
315,2,-36.62888865057924,-72.74436359779591
316,3,-36.629239381430885,-72.73320258865903
317,3,-36.625335417065116,-73.1241989113588
318,3,-36.62572169018914,-73.11304350628342
319,3,-36.626106922315394,-73.10188788899265
320,3,-36.62649111338146,-73.09073206005505
321,2,-36.62725637208402,-73.0684197695138
322,2,-36.627637439596455,-73.05726330904757
323,2,-36.62801746580058,-73.04610663920933
324,1,-36.63102018097517,-72.95684581138983
325,4,-36.63139083265174,-72.94568728281082
326,4,-36.63176044241135,-72.93452855055156
327,4,-36.63212901019405,-72.92336961518156
328,4,-36.63249653594004,-72.91221047727042
329,3,-36.63286301958975,-72.90105113738785
330,3,-36.63322846108371,-72.88989159610354
331,4,-36.63359286036264,-72.8787318539873
332,3,-36.63395621736744,-72.867571911609
333,3,-36.634318532039146,-72.85641176953855
334,2,-36.634679804319,-72.84525142834597
335,2,-36.63504003414839,-72.8340908886013
336,2,-36.63539922146885,-72.82293015087464
337,3,-36.63575736622214,-72.8117692157362
338,2,-36.63611446835012,-72.80060808375622
339,2,-36.63647052779487,-72.789446755505
340,2,-36.6368255444986,-72.77828523155291
341,2,-36.63717951840371,-72.7671235124704
342,2,-36.63753244945276,-72.75596159882798
343,2,-36.63788433758848,-72.74479949119618
344,2,-36.63823518275377,-72.73363719014563
345,2,-36.63393955675721,-73.13583536975158
346,3,-36.63432699699948,-73.12467888823075
347,3,-36.634713395968724,-73.11352219382869
348,3,-36.635098753602314,-73.10236528711411
349,2,-36.63548306983776,-73.09120816865584
350,2,-36.636248577865146,-73.06889329878366
351,2,-36.63662976953296,-73.05773554850771
352,4,-36.64001361309374,-72.95730643828053
353,3,-36.64038438554374,-72.946146618945
354,4,-36.64075411573841,-72.93498659583592
355,4,-36.6411228036178,-72.92382636952314
356,3,-36.64149044912207,-72.91266594057647
357,3,-36.64185705219159,-72.90150530956586
358,3,-36.64222261276691,-72.8903444770613
359,4,-36.642587130788684,-72.87918344363283
360,3,-36.64295060619779,-72.86802220985058
361,3,-36.643313038935254,-72.85686077628475
362,2,-36.64367442894227,-72.84569914350556
363,2,-36.64403477616022,-72.83453731208336
364,2,-36.644394080530596,-72.82337528258847
365,2,-36.64475234199511,-72.81221305559141
366,2,-36.64510956049563,-72.80105063166262
367,2,-36.64546573597418,-72.7898880113727
368,3,-36.645820868372944,-72.77872519529228
369,3,-36.64617495763431,-72.76756218399203
370,2,-36.646528003700816,-72.75639897804274
371,2,-36.646880006515126,-72.7452355780152
372,3,-36.64723096602014,-72.73407198448032
373,3,-36.647580882158884,-72.72290819800902
374,2,-36.64792975487455,-72.71174421917232
375,2,-36.64827758411052,-72.70058004854128
376,3,-36.64862436981032,-72.68941568668704
377,3,-36.64293099145993,-73.13631684930273
378,2,-36.6433185579141,-73.12515907798394
379,2,-36.643705082757286,-73.11400109368647
380,3,-36.644090565926824,-73.10284289697931
381,3,-36.64447500736021,-73.09168448843148
382,2,-36.6452407647693,-73.06936703809046
383,1,-36.64562208062082,-73.0582079974357
384,3,-36.64863509083063,-72.96892817573944
385,3,-36.649007026615195,-72.95776726951449
386,3,-36.64937791986618,-72.9466061588527
387,3,-36.649747770523426,-72.93544484432405
388,3,-36.6501165785269,-72.9242833264986
389,3,-36.65048434381678,-72.91312160594647
390,2,-36.650851066333395,-72.90195968323785
391,3,-36.651216746017234,-72.89079755894296
392,3,-36.65158138280898,-72.87963523363214
393,3,-36.65194497664944,-72.86847270787577
394,3,-36.652307527479614,-72.85730998224429
395,2,-36.65266903524069,-72.84614705730819
396,2,-36.65302949987399,-72.83498393363807
397,2,-36.65338892132099,-72.82382061180454
398,2,-36.653747299523395,-72.81265709237833
399,2,-36.65410463442303,-72.80149337593018
400,2,-36.65446092596187,-72.79032946303091
401,2,-36.65481617408211,-72.77916535425145
402,2,-36.65517037872608,-72.76800105016271
403,2,-36.65552353983629,-72.75683655133574
404,2,-36.65587565735541,-72.74567185834158
405,3,-36.656226731226276,-72.73450697175141
406,3,-36.65657676139189,-72.72334189213642
407,2,-36.656925747795434,-72.71217662006786
408,2,-36.65727369038025,-72.70101115611708
409,2,-36.65762058908984,-72.68984550085545
410,2,-36.65796644386789,-72.67867965485443
411,2,-36.6523100998047,-73.12563948071583
412,2,-36.652696750550554,-73.11448020595397
413,3,-36.653082359284696,-73.10332071868514
414,2,-36.653466925944585,-73.09216101947868
415,3,-36.65725526482056,-72.98055249613972
